{'distance': 0.009449999779462814, 'elevation': 0, 'calories': 24.612319946289062, 'pulse': '103', 'floors': 0, 'bp': '129/77', 'steps': 13}
{'distance': 0, 'elevation': 0, 'calories': 22.262399673461914, 'pulse': '179', 'floors': 0, 'bp': '94/62', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.262399673461914, 'pulse': '115', 'floors': 0, 'bp': '114/59', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 20.778240203857422, 'pulse': 200, 'floors': 0, 'bp': '82/20', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '83', 'floors': 0, 'bp': '144/10', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.799360275268555, 'pulse': '161', 'floors': 0, 'bp': '99/61', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '80', 'floors': 0, 'bp': '170/31', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.799360275268555, 'pulse': '94', 'floors': 0, 'bp': '90/80', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.799360275268555, 'pulse': 200, 'floors': 0, 'bp': '71/25', 'steps': 0}
{'distance': 0.0029100000392645597, 'elevation': 0, 'calories': 21.149280548095703, 'pulse': 200, 'floors': 0, 'bp': '152/64', 'steps': 4}
{'distance': 0, 'elevation': 0, 'calories': 18.92304039001465, 'pulse': '88', 'floors': 0, 'bp': '129/09', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '88', 'floors': 0, 'bp': '72/06', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '94', 'floors': 0, 'bp': '81/47', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67568016052246, 'pulse': '154', 'floors': 0, 'bp': '79/51', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67568016052246, 'pulse': '153', 'floors': 0, 'bp': '176/09', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67568016052246, 'pulse': 200, 'floors': 0, 'bp': '72/16', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '169', 'floors': 0, 'bp': '75/80', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.665119171142578, 'pulse': '92', 'floors': 0, 'bp': '177/72', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.799360275268555, 'pulse': '153', 'floors': 0, 'bp': '128/14', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '94', 'floors': 0, 'bp': '77/02', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67568016052246, 'pulse': 200, 'floors': 0, 'bp': '182/02', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '115', 'floors': 0, 'bp': '76/82', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67568016052246, 'pulse': '145', 'floors': 0, 'bp': '87/65', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '80', 'floors': 0, 'bp': '127/24', 'steps': 0}
{'distance': 0.00872000027447939, 'elevation': 0, 'calories': 26.343839645385742, 'pulse': '83', 'floors': 0, 'bp': '170/31', 'steps': 12}
{'distance': 0.07342000305652618, 'elevation': 0, 'calories': 28.817440032958984, 'pulse': '144', 'floors': 0, 'bp': '151/92', 'steps': 101}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': 200, 'floors': 0, 'bp': '142/90', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '93', 'floors': 0, 'bp': '95/96', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '94', 'floors': 0, 'bp': '82/23', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '96', 'floors': 0, 'bp': '139/27', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '88', 'floors': 0, 'bp': '196/84', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '91', 'floors': 0, 'bp': '84/24', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '131', 'floors': 0, 'bp': '166/45', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': 200, 'floors': 0, 'bp': '101/94', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '152', 'floors': 0, 'bp': '154/19', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '84', 'floors': 0, 'bp': '88/94', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.552000045776367, 'pulse': '150', 'floors': 0, 'bp': '90/08', 'steps': 0}
{'distance': 0.039980001747608185, 'elevation': 0, 'calories': 29.559520721435547, 'pulse': 200, 'floors': 0, 'bp': '133/88', 'steps': 55}
{'distance': 0.010180000215768814, 'elevation': 0, 'calories': 24.48863983154297, 'pulse': '93', 'floors': 0, 'bp': '163/72', 'steps': 14}
{'distance': 0, 'elevation': 0, 'calories': 23.375520706176758, 'pulse': '94', 'floors': 0, 'bp': '93/97', 'steps': 0}
{'distance': 0.07489000260829926, 'elevation': 0, 'calories': 31.04368019104004, 'pulse': '86', 'floors': 0, 'bp': '70/89', 'steps': 103}
{'distance': 0.11851000040769577, 'elevation': 0, 'calories': 42.17488098144531, 'pulse': '96', 'floors': 0, 'bp': '102/61', 'steps': 163}
{'distance': 0.05452999845147133, 'elevation': 0, 'calories': 31.04368019104004, 'pulse': '96', 'floors': 0, 'bp': '104/39', 'steps': 75}
{'distance': 0.11413999646902084, 'elevation': 0, 'calories': 34.87776184082031, 'pulse': 200, 'floors': 0, 'bp': '126/86', 'steps': 157}
{'distance': 0.12723000347614288, 'elevation': 9.144000053405762, 'calories': 36.23823928833008, 'pulse': 200, 'floors': 3, 'bp': '86/94', 'steps': 175}
{'distance': 0.012360000051558018, 'elevation': 0, 'calories': 25.725439071655273, 'pulse': '94', 'floors': 0, 'bp': '158/61', 'steps': 17}
{'distance': 0.00872000027447939, 'elevation': 0, 'calories': 22.386079788208008, 'pulse': '113', 'floors': 0, 'bp': '70/16', 'steps': 12}
{'distance': 0.39768001437187195, 'elevation': 6.0960001945495605, 'calories': 63.6952018737793, 'pulse': '86', 'floors': 2, 'bp': '194/43', 'steps': 547}
{'distance': 0.1613900065422058, 'elevation': 6.0960001945495605, 'calories': 39.577598571777344, 'pulse': '115', 'floors': 2, 'bp': '122/82', 'steps': 222}
{'distance': 0, 'elevation': 0, 'calories': 19.417760848999023, 'pulse': '81', 'floors': 0, 'bp': '182/11', 'steps': 0}
{'distance': 0.03562000021338463, 'elevation': 0, 'calories': 29.188480377197266, 'pulse': '92', 'floors': 0, 'bp': '82/81', 'steps': 49}
{'distance': 0.033440001308918, 'elevation': 0, 'calories': 27.58064079284668, 'pulse': '165', 'floors': 0, 'bp': '86/31', 'steps': 46}
{'distance': 0, 'elevation': 0, 'calories': 23.004480361938477, 'pulse': 200, 'floors': 0, 'bp': '101/48', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.880800247192383, 'pulse': '84', 'floors': 0, 'bp': '72/22', 'steps': 0}
{'distance': 0.07343000173568726, 'elevation': 0, 'calories': 31.04368019104004, 'pulse': '188', 'floors': 0, 'bp': '82/65', 'steps': 101}
{'distance': 0.015990000218153, 'elevation': 0, 'calories': 24.983360290527344, 'pulse': 200, 'floors': 0, 'bp': '91/34', 'steps': 22}
{'distance': 0, 'elevation': 0, 'calories': 23.12816047668457, 'pulse': '98', 'floors': 0, 'bp': '98/78', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 22.262399673461914, 'pulse': '95', 'floors': 0, 'bp': '101/39', 'steps': 0}
{'distance': 0.006539999973028898, 'elevation': 0, 'calories': 23.993919372558594, 'pulse': 200, 'floors': 0, 'bp': '82/00', 'steps': 9}
{'distance': 0, 'elevation': 0, 'calories': 21.76767921447754, 'pulse': '128', 'floors': 0, 'bp': '182/76', 'steps': 0}
{'distance': 0.03344999998807907, 'elevation': 0, 'calories': 33.88832092285156, 'pulse': '171', 'floors': 0, 'bp': '181/86', 'steps': 46}
{'distance': 0, 'elevation': 0, 'calories': 23.49920082092285, 'pulse': '132', 'floors': 0, 'bp': '187/20', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 23.375520706176758, 'pulse': 200, 'floors': 0, 'bp': '75/25', 'steps': 0}
{'distance': 0.01889999955892563, 'elevation': 0, 'calories': 28.075359344482422, 'pulse': 200, 'floors': 0, 'bp': '100/85', 'steps': 26}
{'distance': 0.042899999767541885, 'elevation': 0, 'calories': 32.033119201660156, 'pulse': '88', 'floors': 0, 'bp': '144/97', 'steps': 59}
{'distance': 0, 'elevation': 0, 'calories': 23.12816047668457, 'pulse': 200, 'floors': 0, 'bp': '143/10', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 23.251840591430664, 'pulse': 200, 'floors': 0, 'bp': '93/86', 'steps': 0}
{'distance': 0.0501599982380867, 'elevation': 0, 'calories': 31.662080764770508, 'pulse': '142', 'floors': 0, 'bp': '105/53', 'steps': 69}
