{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 20.410499572753906, 'pulse': '84', 'floors': 0, 'bp': '135/25', 'steps': 7}
{'distance': 0, 'elevation': 0, 'calories': 18.678699493408203, 'pulse': 200, 'floors': 0, 'bp': '140/11', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.802400588989258, 'pulse': '81', 'floors': 0, 'bp': '145/24', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '70/02', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '195', 'floors': 0, 'bp': '185/25', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 25.853300094604492, 'pulse': 200, 'floors': 0, 'bp': '72/74', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '150', 'floors': 0, 'bp': '88/24', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.678699493408203, 'pulse': '131', 'floors': 0, 'bp': '140/73', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.678699493408203, 'pulse': '89', 'floors': 0, 'bp': '144/00', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '108/05', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.173500061035156, 'pulse': '141', 'floors': 0, 'bp': '124/75', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.92609977722168, 'pulse': '80', 'floors': 0, 'bp': '77/55', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.173500061035156, 'pulse': '92', 'floors': 0, 'bp': '84/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.678699493408203, 'pulse': 200, 'floors': 0, 'bp': '72/39', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.802400588989258, 'pulse': 200, 'floors': 0, 'bp': '149/74', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.049800872802734, 'pulse': 200, 'floors': 0, 'bp': '117/44', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.92609977722168, 'pulse': '108', 'floors': 0, 'bp': '97/91', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.802400588989258, 'pulse': '181', 'floors': 0, 'bp': '79/67', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '90', 'floors': 0, 'bp': '84/00', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.802400588989258, 'pulse': 200, 'floors': 0, 'bp': '70/02', 'steps': 0}
{'distance': 0.012360000051558018, 'elevation': 0, 'calories': 22.88450050354004, 'pulse': '185', 'floors': 0, 'bp': '107/46', 'steps': 17}
{'distance': 0.048700001090765, 'elevation': 0, 'calories': 29.81170082092285, 'pulse': '116', 'floors': 0, 'bp': '87/85', 'steps': 67}
{'distance': 0.03853999823331833, 'elevation': 0, 'calories': 32.90420150756836, 'pulse': '135', 'floors': 0, 'bp': '87/81', 'steps': 53}
{'distance': 0.1577800065279007, 'elevation': 0, 'calories': 46.75859832763672, 'pulse': '92', 'floors': 0, 'bp': '90/87', 'steps': 217}
{'distance': 0.17595000565052032, 'elevation': 0, 'calories': 55.04650115966797, 'pulse': 200, 'floors': 0, 'bp': '72/53', 'steps': 242}
{'distance': 0.12794999778270721, 'elevation': 0, 'calories': 38.34700012207031, 'pulse': '148', 'floors': 0, 'bp': '184/39', 'steps': 176}
{'distance': 0.604889988899231, 'elevation': 0, 'calories': 79.04429626464844, 'pulse': '112', 'floors': 0, 'bp': '124/33', 'steps': 832}
{'distance': 0.9944900274276733, 'elevation': 0, 'calories': 111.94850158691406, 'pulse': 200, 'floors': 0, 'bp': '171/73', 'steps': 1270}
{'distance': 0.14177000522613525, 'elevation': 0, 'calories': 47.50080108642578, 'pulse': 200, 'floors': 0, 'bp': '85/30', 'steps': 195}
{'distance': 0, 'elevation': 0, 'calories': 22.88450050354004, 'pulse': '187', 'floors': 0, 'bp': '90/89', 'steps': 0}
{'distance': 0.11413999646902084, 'elevation': 0, 'calories': 36.73889923095703, 'pulse': '193', 'floors': 0, 'bp': '85/43', 'steps': 157}
{'distance': 0.06470999866724014, 'elevation': 0, 'calories': 34.38859939575195, 'pulse': '89', 'floors': 0, 'bp': '81/01', 'steps': 89}
{'distance': 0.10687000304460526, 'elevation': 0, 'calories': 33.39899826049805, 'pulse': '116', 'floors': 0, 'bp': '151/39', 'steps': 147}
{'distance': 0.029820000752806664, 'elevation': 0, 'calories': 31.0487003326416, 'pulse': 200, 'floors': 0, 'bp': '84/71', 'steps': 41}
{'distance': 0.323529988527298, 'elevation': 0, 'calories': 52.20140075683594, 'pulse': 200, 'floors': 0, 'bp': '79/90', 'steps': 445}
